0.15,0.15
0.43,0.44
0.58,0.58
0.67,0.67
0.72,0.71
0.68,0.67
0.76,0.75
0.71,0.71
0.8,0.79
0.72,0.72
0.81,0.81
0.72,0.73
0.8,0.8
0.73,0.73
0.82,0.81
0.75,0.75
0.81,0.81
0.75,0.75
0.82,0.84
0.84,0.82
0.82,0.82
0.75,0.75
0.84,0.82
0.75,0.75
0.82,0.82
0.76,0.75
0.84,0.84
0.77,0.76
0.84,0.82
0.76,0.75
0.84,0.82
0.76,0.76
0.84,0.84
0.84,0.82
0.81,0.8
0.75,0.73
0.82,0.82
0.75,0.73
0.82,0.82
0.75,0.75
0.82,0.81
0.76,0.75
0.84,0.82
0.75,0.75
0.82,0.81
0.76,0.76
0.82,0.84
0.76,0.76
0.84,0.82
0.82,0.82
0.8,0.8
0.75,0.73
0.84,0.81
0.75,0.73
0.82,0.81
0.75,0.73
0.82,0.81
0.75,0.73
0.81,0.81
0.73,0.73
0.82,0.8
0.75,0.73
0.81,0.81
0.82,0.81
0.84,0.82
0.75,0.73
0.82,0.8
0.75,0.73
0.84,0.82
0.75,0.75
0.82,0.82
0.76,0.75
0.82,0.81
0.76,0.73
0.81,0.81
0.75,0.75
0.82,0.81
0.75,0.73
0.82,0.81
0.81,0.8
0.81,0.79
0.75,0.73
0.82,0.81
0.76,0.75
0.82,0.81
0.76,0.76
0.82,0.82
0.75,0.73
0.82,0.82
0.75,0.76
0.82,0.81
0.75,0.72
0.82,0.81
0.84,0.82
0.84,0.82
0.76,0.75
0.84,0.82
0.76,0.73
0.85,0.84
0.76,0.76
0.85,0.84
0.76,0.75
0.85,0.84
0.77,0.76
0.85,0.84
0.76,0.76
0.84,0.84
0.76,0.76
0.84,0.82
0.84,0.81
0.84,0.81
0.76,0.73
0.84,0.81
0.76,0.75
0.85,0.81
0.77,0.73
0.85,0.81
0.76,0.73
0.84,0.81
0.76,0.72
0.82,0.79
0.75,0.72
0.82,0.8
0.82,0.8
0.81,0.79
0.75,0.72
0.81,0.79
0.75,0.72
0.82,0.81
0.75,0.73
0.82,0.81
0.75,0.73
0.81,0.81
0.75,0.72
0.82,0.8
0.75,0.73
0.82,0.81
0.75,0.73
0.82,0.81
0.82,0.81
